ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,117649,Neonatal mortality rate (5 year periods),28,0,KE,Kenya,1989,KE1989DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,1989,DHS,,,23,32,
KEN,117561,Postneonatal mortality (5 year periods),33,0,KE,Kenya,1989,KE1989DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,1989,DHS,,,26,40,
KEN,818671,Infant mortality rate (5 year periods),61,0,KE,Kenya,1989,KE1989DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,1989,DHS,,,52,69,
KEN,806424,Child mortality (5 year periods),31,0,KE,Kenya,1989,KE1989DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,1989,DHS,,,24,38,
KEN,834377,Under-five mortality rate (5 year periods),90,0,KE,Kenya,1989,KE1989DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,1989,DHS,,,77,102,
KEN,782066,Neonatal mortality rate,28,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1989,DHS,,,23,32,
KEN,771903,Neonatal mortality rate,25,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1989,DHS,,,21,29,
KEN,800445,Postneonatal mortality rate,33,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1989,DHS,,,26,40,
KEN,770114,Postneonatal mortality rate,34,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1989,DHS,,,29,39,
KEN,814575,Infant mortality rate,61,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1989,DHS,,,52,69,
KEN,806038,Infant mortality rate,59,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1989,DHS,,,52,66,
KEN,784973,Child mortality rate,31,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1989,DHS,,,24,38,
KEN,814374,Child mortality rate,34,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1989,DHS,,,27,42,
KEN,773372,Under-five mortality rate,90,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1989,DHS,,,77,102,
KEN,117650,Under-five mortality rate,91,0,KE,Kenya,1989,KE1989DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1989,DHS,,,79,103,
KEN,800297,Neonatal mortality rate (5 year periods),26,0,KE,Kenya,1993,KE1993DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,1993,DHS,,,21,31,
KEN,813195,Postneonatal mortality (5 year periods),36,0,KE,Kenya,1993,KE1993DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,1993,DHS,,,29,43,
KEN,804809,Infant mortality rate (5 year periods),62,0,KE,Kenya,1993,KE1993DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,1993,DHS,,,53,70,
KEN,834564,Child mortality (5 year periods),37,0,KE,Kenya,1993,KE1993DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,1993,DHS,,,31,42,
KEN,814074,Under-five mortality rate (5 year periods),96,0,KE,Kenya,1993,KE1993DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,1993,DHS,,,86,107,
KEN,821603,Neonatal mortality rate,26,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1993,DHS,,,21,31,
KEN,796817,Neonatal mortality rate,27,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1993,DHS,,,23,31,
KEN,802981,Postneonatal mortality rate,36,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1993,DHS,,,29,43,
KEN,818833,Postneonatal mortality rate,36,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1993,DHS,,,31,41,
KEN,812467,Infant mortality rate,62,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1993,DHS,,,53,70,
KEN,812054,Infant mortality rate,63,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1993,DHS,,,55,70,
KEN,832176,Child mortality rate,37,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1993,DHS,,,31,42,
KEN,812157,Child mortality rate,33,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1993,DHS,,,28,37,
KEN,772275,Under-five mortality rate,96,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1993,DHS,,,86,107,
KEN,776829,Under-five mortality rate,93,0,KE,Kenya,1993,KE1993DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1993,DHS,,,84,102,
KEN,117812,Neonatal mortality rate (5 year periods),28,0,KE,Kenya,1998,KE1998DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,1998,DHS,,,22,34,
KEN,787214,Postneonatal mortality (5 year periods),45,0,KE,Kenya,1998,KE1998DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,1998,DHS,,,37,54,
KEN,117808,Infant mortality rate (5 year periods),74,0,KE,Kenya,1998,KE1998DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,1998,DHS,,,63,85,
KEN,774322,Child mortality (5 year periods),41,0,KE,Kenya,1998,KE1998DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,1998,DHS,,,33,48,
KEN,117843,Under-five mortality rate (5 year periods),111,0,KE,Kenya,1998,KE1998DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,1998,DHS,,,97,126,
KEN,117842,Neonatal mortality rate,28,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1998,DHS,,,22,34,
KEN,798943,Neonatal mortality rate,27,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1998,DHS,,,23,31,
KEN,117742,Postneonatal mortality rate,45,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1998,DHS,,,37,54,
KEN,801277,Postneonatal mortality rate,44,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1998,DHS,,,37,51,
KEN,770117,Infant mortality rate,74,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1998,DHS,,,63,85,
KEN,117784,Infant mortality rate,71,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1998,DHS,,,62,79,
KEN,117790,Child mortality rate,41,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1998,DHS,,,33,48,
KEN,787213,Child mortality rate,37,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1998,DHS,,,31,43,
KEN,808462,Under-five mortality rate,111,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1998,DHS,,,97,126,
KEN,811157,Under-five mortality rate,105,0,KE,Kenya,1998,KE1998DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1998,DHS,,,94,117,
